scenario_id,policy,probe_id,observed_change,probe_action
S04,Policy_B_CostSensitive,P001,none,ACCEPT
S04,Policy_B_CostSensitive,P002,none,ACCEPT
S04,Policy_B_CostSensitive,P003,major,INVESTIGATE
S04,Policy_B_CostSensitive,P004,none,ACCEPT
S04,Policy_B_CostSensitive,P005,none,ACCEPT
S04,Policy_B_CostSensitive,P006,none,ACCEPT
S04,Policy_B_CostSensitive,P007,none,ACCEPT
S04,Policy_B_CostSensitive,P008,none,ACCEPT
S04,Policy_B_CostSensitive,P009,none,ACCEPT
S04,Policy_B_CostSensitive,P010,none,ACCEPT
S04,Baseline_AlwaysAccept,P001,none,ACCEPT
S04,Baseline_AlwaysAccept,P002,none,ACCEPT
S04,Baseline_AlwaysAccept,P003,major,INVESTIGATE
S04,Baseline_AlwaysAccept,P004,none,ACCEPT
S04,Baseline_AlwaysAccept,P005,none,ACCEPT
S04,Baseline_AlwaysAccept,P006,none,ACCEPT
S04,Baseline_AlwaysAccept,P007,none,ACCEPT
S04,Baseline_AlwaysAccept,P008,none,ACCEPT
S04,Baseline_AlwaysAccept,P009,none,ACCEPT
S04,Baseline_AlwaysAccept,P010,none,ACCEPT
S05,Policy_A_Threshold,P001,none,ACCEPT
S05,Policy_A_Threshold,P002,none,ACCEPT
S05,Policy_A_Threshold,P003,none,ACCEPT
S05,Policy_A_Threshold,P004,major,INVESTIGATE
S05,Policy_A_Threshold,P005,none,ACCEPT
S05,Policy_A_Threshold,P006,none,ACCEPT
S05,Policy_A_Threshold,P007,none,ACCEPT
S05,Policy_A_Threshold,P008,none,ACCEPT
S05,Policy_A_Threshold,P009,none,ACCEPT
S05,Policy_A_Threshold,P010,none,ACCEPT
S05,Policy_B_CostSensitive,P001,none,ACCEPT
S05,Policy_B_CostSensitive,P002,none,ACCEPT
S05,Policy_B_CostSensitive,P003,none,ACCEPT
S05,Policy_B_CostSensitive,P004,major,INVESTIGATE
S05,Policy_B_CostSensitive,P005,none,ACCEPT
S05,Policy_B_CostSensitive,P006,none,ACCEPT
S05,Policy_B_CostSensitive,P007,none,ACCEPT
S05,Policy_B_CostSensitive,P008,none,ACCEPT
S05,Policy_B_CostSensitive,P009,none,ACCEPT
S05,Policy_B_CostSensitive,P010,none,ACCEPT
S05,Baseline_AlwaysAccept,P001,none,ACCEPT
S05,Baseline_AlwaysAccept,P002,none,ACCEPT
S05,Baseline_AlwaysAccept,P003,none,ACCEPT
S05,Baseline_AlwaysAccept,P004,major,INVESTIGATE
S05,Baseline_AlwaysAccept,P005,none,ACCEPT
S05,Baseline_AlwaysAccept,P006,none,ACCEPT
S05,Baseline_AlwaysAccept,P007,none,ACCEPT
S05,Baseline_AlwaysAccept,P008,none,ACCEPT
S05,Baseline_AlwaysAccept,P009,none,ACCEPT
S05,Baseline_AlwaysAccept,P010,none,ACCEPT
S06,Policy_A_Threshold,P001,none,ACCEPT
S06,Policy_A_Threshold,P002,none,ACCEPT
S06,Policy_A_Threshold,P003,none,ACCEPT
S06,Policy_A_Threshold,P004,none,ACCEPT
S06,Policy_A_Threshold,P005,minor,INVESTIGATE
S06,Policy_A_Threshold,P006,none,ACCEPT
S06,Policy_A_Threshold,P007,none,ACCEPT
S06,Policy_A_Threshold,P008,none,ACCEPT
S06,Policy_A_Threshold,P009,none,ACCEPT
S06,Policy_A_Threshold,P010,none,ACCEPT
S06,Policy_B_CostSensitive,P001,none,ACCEPT
S06,Policy_B_CostSensitive,P002,none,ACCEPT
S06,Policy_B_CostSensitive,P003,none,ACCEPT
S06,Policy_B_CostSensitive,P004,none,ACCEPT
S06,Policy_B_CostSensitive,P005,minor,INVESTIGATE
S06,Policy_B_CostSensitive,P006,none,ACCEPT
S06,Policy_B_CostSensitive,P007,none,ACCEPT
S06,Policy_B_CostSensitive,P008,none,ACCEPT
S06,Policy_B_CostSensitive,P009,none,ACCEPT
S06,Policy_B_CostSensitive,P010,none,ACCEPT
S06,Baseline_AlwaysAccept,P001,none,ACCEPT
S06,Baseline_AlwaysAccept,P002,none,ACCEPT
S06,Baseline_AlwaysAccept,P003,none,ACCEPT
S06,Baseline_AlwaysAccept,P004,none,ACCEPT
S06,Baseline_AlwaysAccept,P005,minor,INVESTIGATE
S06,Baseline_AlwaysAccept,P006,none,ACCEPT
S06,Baseline_AlwaysAccept,P007,none,ACCEPT
S06,Baseline_AlwaysAccept,P008,none,ACCEPT
S06,Baseline_AlwaysAccept,P009,none,ACCEPT
S06,Baseline_AlwaysAccept,P010,none,ACCEPT
S07,Policy_A_Threshold,P001,none,ACCEPT
S07,Policy_A_Threshold,P002,none,ACCEPT
S07,Policy_A_Threshold,P003,none,ACCEPT
S07,Policy_A_Threshold,P004,none,ACCEPT
S07,Policy_A_Threshold,P005,none,ACCEPT
S07,Policy_A_Threshold,P006,minor,INVESTIGATE
S07,Policy_A_Threshold,P007,none,ACCEPT
S07,Policy_A_Threshold,P008,none,ACCEPT
S07,Policy_A_Threshold,P009,none,ACCEPT
S07,Policy_A_Threshold,P010,none,ACCEPT
S07,Policy_B_CostSensitive,P001,none,ACCEPT
